model_id,event_id,condition,target,raw_prediction,prediction,correct
Qwen/Qwen2.5-Omni-3B,405841,full_0-8k,Infant Cry,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,501612,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,508745,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,508764,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,508780,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,508801,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,509083,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,509091,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,509092,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,509100,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,518850,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,524694,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,524878,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,526040,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,526541,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,526671,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,526711,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,540984,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,558438,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,558594,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,558633,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,558689,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,562625,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,565266,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,57995,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,583214,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,596191,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,604234,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,609454,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,612455,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,612456,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,612715,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,618440,full_0-8k,Infant Cry,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,623676,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,623691,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,628729,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,631861,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,651191,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,657848,full_0-8k,Infant Cry,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,659272,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,6633,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,664504,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,666082,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,667865,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,667905,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,669950,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,669953,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,670039,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,691528,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,693164,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,695093,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,696291,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,725567,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,729021,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,731937,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,742006,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,763863,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,765458,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,765518,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,786486,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,799579,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,817109,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,817681,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,866025,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,867327,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,868095,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,9024,full_0-8k,Infant Cry,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,101138,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,108998,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,161381,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,202978,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,209319,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,211839,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,221515,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,223107,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,223154,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,223196,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,223198,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,223206,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,223208,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,24031,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,242790,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,26795,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,268974,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,285967,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,317391,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,34756,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,36485,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,377896,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,389438,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,395548,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,408631,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,508670,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,508675,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,508696,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,508707,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,508717,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,508775,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,508835,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,508966,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,509009,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,509015,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,509036,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,509047,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,509050,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,511620,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,518079,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,521545,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,525796,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,525942,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,527150,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,527518,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,527789,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,528688,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,536094,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,539354,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,54180,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,547992,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,551590,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,557502,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,558541,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,575225,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,580352,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,582600,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,582669,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,583172,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,583673,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,583769,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,584012,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,590590,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,61472,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,630989,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,631145,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,631485,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,632300,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,632863,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,633531,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,638580,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,639491,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,647588,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,657440,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,658275,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,663233,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,669577,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,704199,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,706021,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,708365,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,734091,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,745366,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,758751,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,773651,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,778988,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,788000,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,794666,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,81234,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,822050,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,822265,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,824405,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,840586,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,851005,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,851788,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,852264,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,857896,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,857970,full_0-8k,Phee,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,860537,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,862343,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,862520,full_0-8k,Phee,Phee,Phee,true
Qwen/Qwen2.5-Omni-3B,121321,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,135177,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,173793,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,211832,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,211974,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212002,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212103,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212106,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212109,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212110,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212113,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212116,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212120,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212126,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,212127,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,212130,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223298,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,228489,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,235891,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,237025,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,242947,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,277849,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,285498,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,294079,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,297892,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,303572,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,31828,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,411252,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,414997,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,422474,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,422515,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,46505,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,495081,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,508896,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,509055,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,509060,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,509065,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,523406,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,527437,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,533988,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,539296,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,541326,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,556028,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,571992,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,582662,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,583884,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,584362,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,586064,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,617822,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,619623,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,622417,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,623382,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,623621,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,623713,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,631021,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,637669,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,652668,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,655668,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,655868,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,667130,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,669272,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,669273,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,670290,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,697899,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,715845,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,732993,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,734314,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,736548,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,739815,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,741056,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,769197,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,769489,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,773125,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,781684,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,794037,full_0-8k,Seep,Seep,Seep,true
Qwen/Qwen2.5-Omni-3B,81191,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,857186,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,866515,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,866655,full_0-8k,Seep,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,102022,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,121474,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,161850,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,172015,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,190781,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,195490,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223123,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,223144,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,223263,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,233067,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,238981,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,269263,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,343808,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,354379,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,362733,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,397118,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,436313,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,456914,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,463226,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,470849,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,502854,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,51436,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,515398,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,517703,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,526430,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,52861,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,548798,full_0-8k,Trill,Twitter,Twitter,false
Qwen/Qwen2.5-Omni-3B,549295,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,549995,full_0-8k,Trill,Phee,Phee,false
Qwen/Qwen2.5-Omni-3B,561688,full_0-8k,Trill,Seep,Seep,false
Qwen/Qwen2.5-Omni-3B,56195,full_0-8k,Trill,Phee,Phee,false
